id,url,subject,description,Category,,,,,,
openstack%2Frally~master~I9da0124d5a644fccb6e6253951321a61ec973b03,https://review.opendev.org/240219,Refactoring log utils,Refactoring log utils  * Moved log functions from rally/common/utils.py #L137-L234 to rally/common/log.y * Moved test tunctions form test/unit/common/test_utils.py to test/unit/common/test_log.py  Change-Id: I9da0124d5a644fccb6e6253951321a61ec973b03,testing,,,,,,
openstack%2Frally~master~I9da0124d5a644fccb6e6253951321a61ec973b03,https://review.opendev.org/240219,Refactoring log utils,Refactoring log utils  * Moved log functions from rally/common/utils.py #L137-L234 to rally/common/log.y * Moved test tunctions form test/unit/common/test_utils.py to test/unit/common/test_log.py  Change-Id: I9da0124d5a644fccb6e6253951321a61ec973b03,objective,,,,,,
zuul%2Fzuul~master~Icbe206db6bcbaaf78a3d89997f382c02079116c0,https://review.opendev.org/223063,(WIP) Refactor for better connection testing,(WIP) Refactor for better connection testing  * Assign configured fake connections to test class dynamically  * Generalize event queue handling in tests  * Pass upstream_root to fake gerrit explicitly  * Don't pass fake_gerrit to FakeURLOpener  Change-Id: Icbe206db6bcbaaf78a3d89997f382c02079116c0,testing,,,,,,
zuul%2Fzuul~master~Icbe206db6bcbaaf78a3d89997f382c02079116c0,https://review.opendev.org/223063,(WIP) Refactor for better connection testing,(WIP) Refactor for better connection testing  * Assign configured fake connections to test class dynamically  * Generalize event queue handling in tests  * Pass upstream_root to fake gerrit explicitly  * Don't pass fake_gerrit to FakeURLOpener  Change-Id: Icbe206db6bcbaaf78a3d89997f382c02079116c0,objective,,,,,,
openstack%2Fhorizon~master~I5d2272a0abb521ddb9b1df215d45655a9049d0e0,https://review.opendev.org/142839,Refactor project instance test,Refactor project instance test  Refactoring the test_launch_instance_post test as suggested in review for bug 1260436. There are four distinct other users of test_launch_instance_post apart from the test itself.  Creating a new method _test_launch_instance_post and ensuring test_launch_instance_post now invokes this method with the default and only required parameters. Other tests also incoke the new method with parameters specific to them.  Closes bug: #1403948  Change-Id: I5d2272a0abb521ddb9b1df215d45655a9049d0e0,testing,,,,,,
openstack%2Fhorizon~master~I5d2272a0abb521ddb9b1df215d45655a9049d0e0,https://review.opendev.org/142839,Refactor project instance test,Refactor project instance test  Refactoring the test_launch_instance_post test as suggested in review for bug 1260436. There are four distinct other users of test_launch_instance_post apart from the test itself.  Creating a new method _test_launch_instance_post and ensuring test_launch_instance_post now invokes this method with the default and only required parameters. Other tests also incoke the new method with parameters specific to them.  Closes bug: #1403948  Change-Id: I5d2272a0abb521ddb9b1df215d45655a9049d0e0,objective,,,,,,
openstack%2Ffuel-qa~master~Iedca3581bb1f9e0607a26afefd44a89a668fde99,https://review.opendev.org/209007,refactoring nova ha system tests to use neutron network manager,refactoring nova ha system tests to use neutron network manager  *Changed nova-network-manager to neutron-tun on next test cases:  - Add and re-add cinder / compute + cinder to HA cluster  - Add compute node to cluster in HA mode with flat nova-network  - Check HA mode on scalability  - Backup/restore master node with cluster in ha mode  - Optimize code by change repetable code to functions  * Move neutron_tun cases to new file * Move neutron_public_network cases to new file  Change-Id: Iedca3581bb1f9e0607a26afefd44a89a668fde99 Related-Bug:#1478787,testing,,,,,,
openstack%2Ffuel-qa~master~Iedca3581bb1f9e0607a26afefd44a89a668fde99,https://review.opendev.org/209007,refactoring nova ha system tests to use neutron network manager,refactoring nova ha system tests to use neutron network manager  *Changed nova-network-manager to neutron-tun on next test cases:  - Add and re-add cinder / compute + cinder to HA cluster  - Add compute node to cluster in HA mode with flat nova-network  - Check HA mode on scalability  - Backup/restore master node with cluster in ha mode  - Optimize code by change repetable code to functions  * Move neutron_tun cases to new file * Move neutron_public_network cases to new file  Change-Id: Iedca3581bb1f9e0607a26afefd44a89a668fde99 Related-Bug:#1478787,objective,,,,,,
openstack%2Ffuel-qa~master~Iedca3581bb1f9e0607a26afefd44a89a668fde99,https://review.opendev.org/209007,refactoring nova ha system tests to use neutron network manager,refactoring nova ha system tests to use neutron network manager  *Changed nova-network-manager to neutron-tun on next test cases:  - Add and re-add cinder / compute + cinder to HA cluster  - Add compute node to cluster in HA mode with flat nova-network  - Check HA mode on scalability  - Backup/restore master node with cluster in ha mode  - Optimize code by change repetable code to functions  * Move neutron_tun cases to new file * Move neutron_public_network cases to new file  Change-Id: Iedca3581bb1f9e0607a26afefd44a89a668fde99 Related-Bug:#1478787,quality,,,,,,
openstack%2Fglance~master~I202010c7695fcf4b8e81d6dd4eb3ae42af08d958,https://review.opendev.org/87020,Refactoring test on test_api,Refactoring test on test_api  Addition of function get_request_object_data() to remove the repeating lines in many methods. The refactoring is partially done because it affects more than 500 lines of code (mostly deletion of code lines). There are still other aspects remaining to refactor it more.  This bug is an action item to track the review comment for  https://review.openstack.org/#/c/64079/4 raised by Steve Kowalik.  Change-Id: I202010c7695fcf4b8e81d6dd4eb3ae42af08d958 Partial-bug: #1264639,testing,,,,,,
openstack%2Fglance~master~I202010c7695fcf4b8e81d6dd4eb3ae42af08d958,https://review.opendev.org/87020,Refactoring test on test_api,Refactoring test on test_api  Addition of function get_request_object_data() to remove the repeating lines in many methods. The refactoring is partially done because it affects more than 500 lines of code (mostly deletion of code lines). There are still other aspects remaining to refactor it more.  This bug is an action item to track the review comment for  https://review.openstack.org/#/c/64079/4 raised by Steve Kowalik.  Change-Id: I202010c7695fcf4b8e81d6dd4eb3ae42af08d958 Partial-bug: #1264639,objective,,,,,,
